COMMUNICATION,QUALITY,PRICING,RESPECTING DEADLINES,ACCESIBILITY,MEETING EXPECTATIONS,EFFECTIVITY,CLASS
4,1,3,4,4,3,55.8835,0
4,6,1,2,5,2,58.8237,0
1,8,2,3,1,1,47.05630000000001,0
4,8,2,4,1,3,64.7055,1
4,1,4,4,1,4,52.94279999999999,0
3,1,1,7,1,1,41.176,0
2,1,3,6,1,3,47.0586,0
2,6,3,3,1,3,52.94040000000001,0
4,6,3,3,5,1,64.705,1
3,6,1,7,1,2,58.8221,0
2,8,1,6,4,3,70.5862,1
1,7,4,2,3,1,52.938700000000004,0
4,6,2,1,3,3,55.8832,0
4,10,1,1,2,1,55.881499999999996,0
3,3,1,2,1,4,41.1781,0
3,7,1,5,1,4,61.764399999999995,1
3,2,3,2,5,1,47.0588,0
2,2,2,7,2,3,52.9405,0
1,10,1,4,2,4,64.7039,1
3,7,4,1,3,4,64.706,1
2,5,2,3,2,2,47.05799999999999,0
3,4,2,6,5,4,70.58800000000001,1
3,1,3,3,4,1,44.1177,0
2,2,2,3,1,3,38.2358,0
2,9,4,5,5,3,82.35029999999999,1
1,7,4,4,3,1,58.8205,0
3,4,4,5,2,2,58.822599999999994,0
3,8,2,4,2,4,67.6465,1
3,9,3,2,3,3,67.64609999999999,1
2,5,2,6,2,3,58.8223,0
1,8,3,1,1,4,52.94029999999999,0
2,5,3,2,2,2,47.058099999999996,0
4,4,1,7,4,1,61.7637,1
1,7,1,4,5,3,61.7629,1
1,6,4,1,2,3,49.998999999999995,0
3,7,1,6,1,1,55.880500000000005,0
3,3,1,5,1,3,47.059200000000004,0
4,7,4,2,2,1,58.82269999999999,0
3,5,1,4,1,3,50.0001,0
1,7,4,7,1,4,70.5858,1
4,9,1,2,4,1,61.7637,1
1,5,2,6,3,2,55.8801,0
4,5,3,4,5,2,67.6466,1
1,5,1,5,1,2,44.116,0
1,1,3,1,2,1,26.4703,0
3,4,2,7,2,2,58.8224,0
4,9,4,7,1,3,82.35109999999999,1
1,8,4,6,3,2,70.5848,1
2,1,3,2,5,3,47.0594,0
3,2,1,1,4,3,41.178,0
3,9,2,1,1,3,55.88199999999999,0
2,6,2,2,5,1,52.9397,0
1,4,4,7,1,1,52.9383,0
3,7,3,5,2,3,67.6459,1
2,1,2,5,3,4,50.0005,0
3,2,3,4,2,2,47.058899999999994,0
3,1,4,5,3,2,52.941,0
4,6,3,6,5,2,76.46930000000002,1
1,2,2,4,3,1,38.234,0
3,10,2,7,1,2,73.5267,1
3,5,2,6,1,4,61.7645,1
2,10,4,3,5,4,82.351,1
